Metadata_treatment,Metadata_Pathway,mean_average_precision,mean_normalized_average_precision,corrected_p_value,-log10(p-value)
UCD-0159634,Cytoskeletal Signaling,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0000972,Neuronal Signaling,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0000936,Neuronal Signaling,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0000878,Transmembrane Transporters,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0000872,Metabolism,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0000849,Endocrinology & Hormones,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0000757,Metabolism,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0000730,Metabolism,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159619,GPCR & G Protein,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159607,Metabolism,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159521,Others,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159523,Proteases,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159504,Others,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159519,Stem Cells & Wnt,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0001101,Neuronal Signaling,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0001305,Neuronal Signaling,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0001463,Neuronal Signaling,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0001441,Neuronal Signaling,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0001086,Endocrinology & Hormones,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159435,Protein Tyrosine Kinase,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0001016,Neuronal Signaling,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0001078,Metabolism,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0001804,MAPK,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0001808,MAPK,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0001812,Others,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159439,PI3K/Akt/mTOR,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159433,Protein Tyrosine Kinase,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159432,Angiogenesis,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159416,Metabolism,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159419,Protein Tyrosine Kinase,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0001802,Others,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0001810,DNA Damage,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159394,TGF-beta/Smad,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0001657,GPCR & G Protein,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0001733,Protein Tyrosine Kinase,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0001759,Angiogenesis,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0001766,Angiogenesis,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0001801,Endocrinology & Hormones,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0000083,Neuronal Signaling,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159301,Cell Cycle,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159300,GPCR & G Protein,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159296,Metabolism,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159295,Microbiology,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159265,Neuronal Signaling,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159386,DNA Damage,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159392,Angiogenesis,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0001885,PI3K/Akt/mTOR,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0001869,Protein Tyrosine Kinase,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159383,NF-κB,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159381,Neuronal Signaling,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0001861,Angiogenesis,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0001843,DNA Damage,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0001844,Others,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0001850,Others,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159375,NF-κB,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159378,Protein Tyrosine Kinase,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159377,Metabolism,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0001842,Neuronal Signaling,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0001835,Others,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0001822,MAPK,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0001818,MAPK,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0001816,Metabolism,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159370,PI3K/Akt/mTOR,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159371,Apoptosis,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159369,Epigenetics,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159376,Transmembrane Transporters,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0001924,Epigenetics,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0001925,Epigenetics,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0013217,Epigenetics,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0017947,Apoptosis,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0018448,GPCR & G Protein,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0018439,Microbiology,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0018207,Neuronal Signaling,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0018179,MAPK,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0001921,Epigenetics,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0001915,Others,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0001900,PI3K/Akt/mTOR,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159361,Others,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159358,Metabolism,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159357,Apoptosis,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159356,Cytoskeletal Signaling,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159355,PI3K/Akt/mTOR,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159352,Proteases,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159350,Neuronal Signaling,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159347,Metabolism,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159346,Stem Cells & Wnt,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159344,Endocrinology & Hormones,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159339,Neuronal Signaling,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159335,JAK/STAT,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159334,Metabolism,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0018131,Angiogenesis,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0018089,Endocrinology & Hormones,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0018083,JAK/STAT,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0018012,Apoptosis,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159332,Apoptosis,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159333,Transmembrane Transporters,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159331,Transmembrane Transporters,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159324,Angiogenesis,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159325,PI3K/Akt/mTOR,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159326,Neuronal Signaling,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159327,DNA Damage,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159330,Protein Tyrosine Kinase,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0000253,Neuronal Signaling,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159314,PI3K/Akt/mTOR,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159313,Protein Tyrosine Kinase,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159311,GPCR & G Protein,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159308,Protein Tyrosine Kinase,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159294,Cell Cycle,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159263,Others,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159262,Others,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159261,Others,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159259,PI3K/Akt/mTOR,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159258,Angiogenesis,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159256,Apoptosis,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0018550,Neuronal Signaling,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0018540,MAPK,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0018516,Neuronal Signaling,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0018483,Microbiology,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159287,Endocrinology & Hormones,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159285,DNA Damage,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159283,Endocrinology & Hormones,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159282,Others,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159278,Others,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159279,Others,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159275,Others,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159274,Others,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159266,Others,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159271,Others,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159269,Others,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159268,Others,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159304,Cell Cycle,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159306,Cell Cycle,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159303,Metabolism,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159302,PI3K/Akt/mTOR,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0000533,GPCR & G Protein,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159310,GPCR & G Protein,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159307,GPCR & G Protein,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159321,Neuronal Signaling,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159319,Neuronal Signaling,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159320,Metabolism,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159293,Others,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159292,DNA Damage,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159288,Metabolism,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159323,Stem Cells & Wnt,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159322,Endocrinology & Hormones,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159315,PI3K/Akt/mTOR,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159317,Angiogenesis,1.0,1.0,0.0027641070585855865,2.5584451400053156
UCD-0159395,GPCR & G Protein,0.9791666666666666,0.9711814006417597,0.0027641070585855865,2.5584451400053156
UCD-0001886,Cell Cycle,0.9791666666666666,0.9711814006417597,0.0027641070585855865,2.5584451400053156
UCD-0000463,Others,0.9791666666666666,0.9711814006417597,0.0027641070585855865,2.5584451400053156
UCD-0159291,GPCR & G Protein,0.9791666666666666,0.9711814006417597,0.0027641070585855865,2.5584451400053156
UCD-0001829,PI3K/Akt/mTOR,0.9791666666666666,0.9711814006417597,0.0027641070585855865,2.5584451400053156
UCD-0001616,Metabolism,0.9791666666666666,0.9711814006417597,0.0027641070585855865,2.5584451400053156
UCD-0000469,Neuronal Signaling,0.9666666666666667,0.9538902410268156,0.0027641070585855865,2.5584451400053156
