Metadata_treatment,Metadata_Pathway,mean_average_precision,mean_normalized_average_precision,corrected_p_value,-log10(p-value)
UCD-0159538,MAPK,0.9583333333333334,0.9423628012835196,0.0027641070585855865,2.5584451400053156
UCD-0159312,Transmembrane Transporters,0.9583333333333333,0.9423628012835195,0.0027641070585855865,2.5584451400053156
UCD-0000786,GPCR & G Protein,0.9458333333333333,0.9250716416685754,0.0027641070585855865,2.5584451400053156
UCD-0159421,Apoptosis,0.9458333333333333,0.9250716416685754,0.0027641070585855865,2.5584451400053156
UCD-0159284,Stem Cells & Wnt,0.9458333333333333,0.9250716416685754,0.0027641070585855865,2.5584451400053156
UCD-0159309,Angiogenesis,0.9333333333333333,0.9077804820536313,0.0027641070585855865,2.5584451400053156
UCD-0159488,Epigenetics,0.9305555555555555,0.9039380021391992,0.0027641070585855865,2.5584451400053156
UCD-0159342,Others,0.9305555555555555,0.9039380021391992,0.0027641070585855865,2.5584451400053156
UCD-0000377,Transmembrane Transporters,0.9125,0.8789618826953911,0.010298273155416014,1.98723559295969
UCD-0159473,Epigenetics,0.9097222222222222,0.875119402780959,0.010298273155416014,1.98723559295969
UCD-0159472,TGF-beta/Smad,0.9097222222222222,0.875119402780959,0.010298273155416014,1.98723559295969
UCD-0000101,Endocrinology & Hormones,0.9047619047619049,0.8682578315051876,0.010298273155416014,1.98723559295969
UCD-0159297,Microbiology,0.9041666666666667,0.8674344429520949,0.010298273155416014,1.98723559295969
UCD-0159396,DNA Damage,0.8982142857142857,0.8592005574211692,0.010298273155416014,1.98723559295969
UCD-0000841,Neuronal Signaling,0.8958333333333334,0.8559070032087989,0.010298273155416014,1.98723559295969
UCD-0159406,Neuronal Signaling,0.8898809523809524,0.8476731176778731,0.010298273155416014,1.98723559295969
DMSO_healthy,,0.8868449920449882,0.7561563553652189,0.0027641070585855865,2.5584451400053156
UCD-0159513,Others,0.8625,0.8097972442356145,0.010298273155416014,1.98723559295969
UCD-0159257,DNA Damage,0.8506944444444444,0.7934667045992784,0.010298273155416014,1.98723559295969
UCD-0159411,Neuronal Signaling,0.8472222222222222,0.7886636047062383,0.010298273155416014,1.98723559295969
UCD-0159316,Proteases,0.8347222222222223,0.7713724450912942,0.010298273155416014,1.98723559295969
UCD-0159484,Epigenetics,0.8301587301587301,0.7650597995175845,0.012515262515262516,1.9025600363686452
UCD-0159443,Others,0.8291666666666666,0.7636874852624301,0.012515262515262516,1.9025600363686452
UCD-0159524,Others,0.8263888888888888,0.7598450053479981,0.012515262515262516,1.9025600363686452
UCD-0159393,GPCR & G Protein,0.8194444444444444,0.750238805561918,0.012515262515262516,1.9025600363686452
UCD-0159425,Apoptosis,0.8194444444444443,0.7619337656139803,0.01948321948321948,1.7103392770124284
UCD-0000324,Metabolism,0.8138888888888889,0.7425538457330539,0.012515262515262516,1.9025600363686452
UCD-0000490,Neuronal Signaling,0.8013888888888889,0.7252626861181098,0.01948321948321948,1.7103392770124284
UCD-0159380,GPCR & G Protein,0.7958333333333333,0.7175777262892458,0.01948321948321948,1.7103392770124284
UCD-0159567,Others,0.7930555555555555,0.7137352463748137,0.01948321948321948,1.7103392770124284
UCD-0000421,Neuronal Signaling,0.7895833333333333,0.7089321464817737,0.021684198154786394,1.663856632698532
UCD-0159506,NF-κB,0.7822420634920635,0.6987770209936319,0.021684198154786394,1.663856632698532
UCD-0159546,Ubiquitin,0.7775974025974026,0.6923520951626823,0.025947874115413383,1.5858982176908607
UCD-0159345,Neuronal Signaling,0.7756944444444445,0.6897197469096136,0.025947874115413383,1.5858982176908607
UCD-0159410,Neuronal Signaling,0.7729166666666667,0.6858772669951816,0.025947874115413383,1.5858982176908607
UCD-0159442,Epigenetics,0.7683531746031746,0.6795646214214719,0.025947874115413383,1.5858982176908607
UCD-0159522,Proteases,0.7652777777777778,0.6753104472304935,0.0303478904515174,1.5178714923022951
UCD-0159401,Angiogenesis,0.7638888888888888,0.688682616572128,0.01948321948321948,1.7103392770124284
UCD-0159585,Protein Tyrosine Kinase,0.7579365079365079,0.6651553217423516,0.0303478904515174,1.5178714923022951
UCD-0159434,Angiogenesis,0.7544642857142857,0.6603522218493116,0.03948113741928175,1.4036103441533103
UCD-0000721,Neuronal Signaling,0.75,0.6865885136094606,0.10601163542340014,0.9746464656516696
UCD-0159597,Epigenetics,0.75,0.6865885136094606,0.10601163542340014,0.9746464656516696
UCD-0159613,PI3K/Akt/mTOR,0.75,0.6865885136094606,0.10601163542340014,0.9746464656516696
UCD-0159559,DNA Damage,0.7483796296296297,0.6519353610843652,0.040347711989503036,1.394181087918541
UCD-0011098,Neuronal Signaling,0.7482142857142857,0.6517066420418396,0.040347711989503036,1.394181087918541
UCD-0159518,Proteases,0.7458333333333333,0.6484130878294693,0.040347711989503036,1.394181087918541
UCD-0159510,Autophagy,0.7458333333333333,0.6484130878294693,0.040347711989503036,1.394181087918541
UCD-0159486,Others,0.7458333333333333,0.6484130878294693,0.040347711989503036,1.394181087918541
UCD-0159553,PI3K/Akt/mTOR,0.7343253968253969,0.6324942424696794,0.040347711989503036,1.394181087918541
UCD-0000904,GPCR & G Protein,0.726010101010101,0.6209917538946588,0.040347711989503036,1.394181087918541
UCD-0000243,Neuronal Signaling,0.7244075369075369,0.6187749385594095,0.041758241758241756,1.3792577957042835
UCD-0159411B,Neuronal Signaling,0.7241161616161615,0.6183718812257278,0.041758241758241756,1.3792577957042835
UCD-0001419,Transmembrane Transporters,0.7236531986531987,0.6177314679066559,0.041758241758241756,1.3792577957042835
UCD-0159365,TGF-beta/Smad,0.7232142857142857,0.6171243228119513,0.041758241758241756,1.3792577957042835
UCD-0001040,Endocrinology & Hormones,0.7141955266955267,0.604648738674185,0.044841414509660955,1.3483206961651315
UCD-0159428,Apoptosis,0.7134920634920635,0.6036756431114392,0.044841414509660955,1.3483206961651315
UCD-0159543,MAPK,0.7124999999999999,0.6023033288562849,0.044841414509660955,1.3483206961651315
UCD-0159651,Angiogenesis,0.7118055555555555,0.6013427088776768,0.044841414509660955,1.3483206961651315
UCD-0159479,Transmembrane Transporters,0.7090277777777777,0.5975002289632448,0.044841414509660955,1.3483206961651315
UCD-0159471,Proteases,0.7013888888888888,0.5869334091985567,0.044841414509660955,1.3483206961651315
UCD-0159398,Protein Tyrosine Kinase,0.693560606060606,0.5761046021669756,0.04892844711849236,1.3104385675748629
UCD-0159403,GPCR & G Protein,0.6926767676767677,0.5748819949214745,0.04892844711849236,1.3104385675748629
UCD-0001059,Epigenetics,0.6902777777777778,0.5715634895408286,0.04892844711849236,1.3104385675748629
UCD-0159495,Apoptosis,0.6898989898989898,0.5710395150070423,0.04892844711849236,1.3104385675748629
UCD-0000918,Proteases,0.6834415584415584,0.5621069967644017,0.04892844711849236,1.3104385675748629
UCD-0159456,Apoptosis,0.6833333333333332,0.5619572897547486,0.04892844711849236,1.3104385675748629
UCD-0159588,MAPK,0.6813519813519813,0.559216499885713,0.04892844711849236,1.3104385675748629
UCD-0159431,PI3K/Akt/mTOR,0.681060606060606,0.5588134425520314,0.04892844711849236,1.3104385675748629
UCD-0159561,JAK/STAT,0.6805555555555555,0.5581148098403165,0.04892844711849236,1.3104385675748629
UCD-0159487,Others,0.6805555555555555,0.5581148098403165,0.04892844711849236,1.3104385675748629
UCD-0159354,Metabolism,0.6801587301587301,0.5575658841382548,0.04961998354068839,1.3043433841224432
UCD-0159492,Cell Cycle,0.6777777777777778,0.5542723299258845,0.04961998354068839,1.3043433841224432
UCD-0159364,Others,0.6746031746031745,0.5498809243093907,0.04961998354068839,1.3043433841224432
UCD-0159481,Cell Cycle,0.6727272727272726,0.5472860028087353,0.04961998354068839,1.3043433841224432
UCD-0017999,Endocrinology & Hormones,0.6715277777777777,0.5456267501184124,0.04961998354068839,1.3043433841224432
UCD-0159390,Neuronal Signaling,0.6713383838383837,0.5453647628515192,0.04961998354068839,1.3043433841224432
UCD-0011696,JAK/STAT,0.6649305555555556,0.5365008603216365,0.050275904353157576,1.298640108656559
UCD-0159423,PI3K/Akt/mTOR,0.6643939393939393,0.5357585630654392,0.050275904353157576,1.298640108656559
UCD-0159529,Cell Cycle,0.6620370370370371,0.5543888433287324,0.06127472527472528,1.2127186272311405
UCD-0001927,Epigenetics,0.6602272727272727,0.5299948431937912,0.050275904353157576,1.298640108656559
UCD-0001391,Metabolism,0.6583333333333333,0.5273749705248603,0.050275904353157576,1.298640108656559
UCD-0159568,Others,0.6472222222222223,0.5120050508671322,0.050275904353157576,1.298640108656559
UCD-0159497,PI3K/Akt/mTOR,0.6472222222222221,0.5120050508671321,0.050275904353157576,1.298640108656559
UCD-0159426,DNA Damage,0.6384920634920634,0.4999286854217744,0.05256410256410257,1.279310745970745
UCD-0159630,Transmembrane Transporters,0.6380050505050504,0.49925500387833494,0.05256410256410257,1.279310745970745
UCD-0000684,Others,0.6372204184704184,0.4981696280583492,0.05256410256410257,1.279310745970745
UCD-0018311,Neuronal Signaling,0.6343344155844156,0.4941774411342641,0.05256410256410257,1.279310745970745
UCD-0159586,Angiogenesis,0.6340277777777777,0.49375327127358004,0.05256410256410257,1.279310745970745
UCD-0159533,Cytoskeletal Signaling,0.6333333333333333,0.4927926512949721,0.05256410256410257,1.279310745970745
UCD-0159351,Others,0.6296717171717171,0.48772756413503887,0.05256410256410257,1.279310745970745
UCD-0159576,Others,0.6268939393939393,0.48388508422060683,0.05472260532989278,1.2618332341413614
UCD-0159476,Metabolism,0.6265873015873016,0.4834609143599228,0.05472260532989278,1.2618332341413614
UCD-0159465,Metabolism,0.625,0.4812652115516759,0.05472260532989278,1.2618332341413614
UCD-0159385,Metabolism,0.6248704998704998,0.4810860749589285,0.05472260532989278,1.2618332341413614
UCD-0159560,DNA Damage,0.6214285714285714,0.4763248802331205,0.05472260532989278,1.2618332341413614
UCD-0159464,Metabolism,0.6201388888888889,0.47454087170141984,0.05472260532989278,1.2618332341413614
UCD-0159459,Cytoskeletal Signaling,0.6199074074074074,0.47422066504188387,0.05472260532989278,1.2618332341413614
UCD-0159362,Stem Cells & Wnt,0.6158267400527462,0.46857590739668886,0.05631868131868131,1.2493475225933017
UCD-0159457,Proteases,0.6132034632034632,0.46494714749947763,0.05790193742000971,1.2373069043771885
UCD-0159429,Stem Cells & Wnt,0.6076388888888888,0.45724971208647575,0.06775179707510534,1.1690791809044627
UCD-0159420,Angiogenesis,0.6073006854256854,0.45678187768130946,0.06775179707510534,1.1690791809044627
UCD-0001002,Neuronal Signaling,0.6067550505050504,0.45602710484097453,0.06775179707510534,1.1690791809044627
UCD-0159659,Metabolism,0.6066405816405815,0.4558687608884568,0.06775179707510534,1.1690791809044627
UCD-0001186,Neuronal Signaling,0.6030753968253968,0.45093706651276605,0.06775179707510534,1.1690791809044627
UCD-0159417,GPCR & G Protein,0.6027777777777777,0.4762542843507566,0.09106850596212299,1.0406317882482279
UCD-0159569,Protein Tyrosine Kinase,0.6018939393939394,0.4493027649907186,0.06775179707510534,1.1690791809044627
UCD-0159359,Others,0.600297619047619,0.4470945865983339,0.06775179707510534,1.1690791809044627
UCD-0018051,Metabolism,0.6001984126984127,0.4469573551728184,0.06775179707510534,1.1690791809044627
UCD-0159517,Proteases,0.6000945691735166,0.44681370917570196,0.06775179707510534,1.1690791809044627
UCD-0159544,Angiogenesis,0.6,0.498541621775137,0.10601163542340014,0.9746464656516696
UCD-0159353,Proteases,0.5996212121212121,0.4461589177880015,0.06775179707510534,1.1690791809044627
UCD-0159516,Proteases,0.5954365079365079,0.4403702467480779,0.06775179707510534,1.1690791809044627
UCD-0159458,Others,0.5949735449735449,0.43972983342900596,0.06775179707510534,1.1690791809044627
UCD-0159399,Apoptosis,0.5944444444444444,0.4652666119944788,0.09643339117023327,1.0157725605991013
UCD-0159402,GPCR & G Protein,0.5940656565656566,0.4384739579591374,0.06775179707510534,1.1690791809044627
UCD-0001435,Others,0.5938341750841751,0.43815375129960143,0.06775179707510534,1.1690791809044627
UCD-0159477,Metabolism,0.5926346801346801,0.4364944986092785,0.06775179707510534,1.1690791809044627
UCD-0159593,Epigenetics,0.5916666666666667,0.43515545257849153,0.06775179707510534,1.1690791809044627
UCD-0159367,Neuronal Signaling,0.5871212121212122,0.42886775817305733,0.07256039840309503,1.1393003413863467
UCD-0159409,Others,0.5829365079365079,0.42307908713313375,0.07315194031061191,1.1357741499895764
UCD-0159636,Protein Tyrosine Kinase,0.5817185007974481,0.4213942266648438,0.07315194031061191,1.1357741499895764
UCD-0001098,Neuronal Signaling,0.5814574314574315,0.4210330913345401,0.07315194031061191,1.1357741499895764
UCD-0001653,Transmembrane Transporters,0.5796717171717172,0.4185629256752623,0.07315194031061191,1.1357741499895764
UCD-0159447,Ubiquitin,0.5747113997113997,0.4117013543994909,0.07756712152316547,1.1103223247063967
UCD-0018458,Proteases,0.5731150793650793,0.4094931760071062,0.07756712152316547,1.1103223247063967
UCD-0000295,Metabolism,0.570085572107631,0.4053024805236525,0.07807355099773873,1.1074960672902194
UCD-0159584,Cell Cycle,0.5692460317460317,0.4041411504120045,0.07807355099773873,1.1074960672902194
UCD-0159515,Epigenetics,0.569047619047619,0.40386668756097366,0.07807355099773873,1.1074960672902194
UCD-0159455,TGF-beta/Smad,0.56627886002886,0.4000366832306793,0.07807355099773873,1.1074960672902194
UCD-0159387,Neuronal Signaling,0.5594907407407407,0.3906467269029872,0.0807436291307259,1.0928917345389368
UCD-0159466,Cell Cycle,0.5588624338624338,0.3897775945413895,0.0807436291307259,1.0928917345389368
UCD-0159478,Cell Cycle,0.5578703703703703,0.4170429388752595,0.1565934065934066,0.8052265279765646
UCD-0159501,Cell Cycle,0.5572180134680135,0.3875028797002701,0.0897892143443745,1.0467758285002375
UCD-0159514,Others,0.5564213564213565,0.3864008697681008,0.0897892143443745,1.0467758285002375
UCD-0159379,PI3K/Akt/mTOR,0.5553751803751803,0.38495370200811985,0.09518650363720786,1.021424625264752
UCD-0001944,Epigenetics,0.5536706349206348,0.382595816606082,0.09518650363720786,1.021424625264752
UCD-0159565,TGF-beta/Smad,0.5525462962962963,0.38104052711690706,0.09978611992034811,1.0009298641357447
UCD-0011250,Endocrinology & Hormones,0.5510010822510822,0.3789030437013031,0.09978611992034811,1.0009298641357447
