Metadata_treatment,Pathway,mean_logit_score,mean_relative_cell_count,mean_average_precision,corrected_p_value,-log10(p-value),hit
UCD-0159615,Angiogenesis,0.1503390828995218,1.1454545454545455,,,,False
UCD-0001957,Epigenetics,0.4916923283957767,0.5987000447483927,0.4331196581196581,0.2283438632212474,0.6414106556355311,False
UCD-0001790B,Protein Tyrosine Kinase,,,,,,False
UCD-0159362,Stem Cells & Wnt,0.1074691777852134,1.0634158415904598,0.6158267400527462,0.0563186813186813,1.2493475225933015,False
UCD-0159369,Epigenetics,0.7193869358956596,1.1901844259165066,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0001861,Angiogenesis,0.3994782126343048,0.535007226099393,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159366,Metabolism,0.3067650037230786,1.0254653745292008,0.3733886483886484,0.2522159774068171,0.5982274051545786,False
UCD-0159371,Apoptosis,0.830916340110495,0.5687393301430047,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159364,Others,0.2375226625340119,0.9208613371733364,0.6746031746031745,0.0496199835406883,1.3043433841224432,False
UCD-0159358,Metabolism,0.3120302506939457,0.9379180591896076,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159352,Proteases,0.4195018291082867,0.566735638557051,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0001885,PI3K/Akt/mTOR,0.9301004606072608,0.3378351493410846,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159342,Others,0.2845006186505917,0.8223263196764256,0.9305555555555556,0.0027641070585855,2.5584451400053156,False
UCD-0018448,GPCR & G Protein,0.4272588677130382,0.8374216826768619,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159335,JAK/STAT,0.7371280798900858,0.1274459398155148,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159386,DNA Damage,0.207756166971036,0.9702237844191192,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159378,Protein Tyrosine Kinase,0.2244738070748783,0.7198983050933754,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159370,PI3K/Akt/mTOR,0.5563156217563376,0.8948715251206556,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0011696,JAK/STAT,0.299116416015747,0.9266479586173748,0.6649305555555556,0.0502759043531575,1.298640108656559,False
UCD-0159357,Apoptosis,0.8905682263066627,0.0161652786412098,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159347,Metabolism,0.7947990872021455,0.8715896521289308,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159376,Transmembrane Transporters,0.0342805454119404,1.1086639340631477,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159341,Metabolism,0.1452259676928746,0.9243969382824668,0.3557359307359307,0.2646978021978021,0.5772496646575843,False
UCD-0001186,Neuronal Signaling,0.0875336988743265,0.907091708200509,0.6030753968253968,0.0677517970751053,1.1690791809044627,False
UCD-0000684,Others,0.2231856957924329,0.95642951326359,0.6372204184704184,0.0525641025641025,1.279310745970745,False
UCD-0159385,Metabolism,0.1709544463629141,0.8407938940032922,0.6248704998704998,0.0547226053298927,1.2618332341413614,False
UCD-0159377,Metabolism,0.6168237291783326,0.8098206165694446,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0018540,MAPK,0.4476487048868842,1.0051265617513916,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159363,Others,,,,,,False
UCD-0159356,Cytoskeletal Signaling,0.1029720657719452,0.8559263784322382,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0001900,PI3K/Akt/mTOR,0.1921581419983801,1.0871040366108793,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159346,Stem Cells & Wnt,0.8558897423896336,1.0691317129406877,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159340,Others,,,,,,False
UCD-0159338,Neuronal Signaling,0.1298324978557497,1.063722358292334,0.5144841269841269,0.1126373626373626,0.9483175269293204,False
UCD-0159334,Metabolism,0.81718253393268,0.4424773460447511,1.0,0.0027641070585855,2.5584451400053156,False
UCD-0159384,NF-κB,,,,,,False
UCD-0000201,GPCR & G Protein,0.3112509121541552,0.6892063416036018,0.4674603174603174,0.1661318032999449,0.7795472207963838,False
UCD-0001864,Angiogenesis,0.1057810567027074,0.0100755667506297,,,,False
UCD-0159373,Angiogenesis,0.2468651731016476,0.331562771734781,0.5095238095238095,0.1176594106530412,0.9293733312908564,False
