WellRow,WellCol,well_position,heart_number,cell_type,heart_failure_type,treatment
B,2,B02,7,healthy,NA,DMSO
B,3,B03,19,failing,dilated_cardiomyopathy,S7748
B,4,B04,19,failing,dilated_cardiomyopathy,S7834
B,5,B05,7,healthy,NA,DMSO
B,6,B06,19,failing,dilated_cardiomyopathy,S7460
B,7,B07,19,failing,dilated_cardiomyopathy,S7501
B,8,B08,7,healthy,NA,DMSO
B,9,B09,19,failing,dilated_cardiomyopathy,S7526
B,10,B10,19,failing,dilated_cardiomyopathy,S7555
B,11,B11,7,healthy,NA,DMSO
C,2,C02,19,failing,dilated_cardiomyopathy,S7595
C,3,C03,19,failing,dilated_cardiomyopathy,S7631
C,4,C04,19,failing,dilated_cardiomyopathy,S7683
C,5,C05,19,failing,dilated_cardiomyopathy,S7709
C,6,C06,19,failing,dilated_cardiomyopathy,S7753
C,7,C07,19,failing,dilated_cardiomyopathy,S7835
C,8,C08,19,failing,dilated_cardiomyopathy,S7839
C,9,C09,19,failing,dilated_cardiomyopathy,S7886
C,10,C10,19,failing,dilated_cardiomyopathy,S7936
C,11,C11,19,failing,dilated_cardiomyopathy,S7975
D,2,D02,19,failing,dilated_cardiomyopathy,S8022
D,3,D03,19,failing,dilated_cardiomyopathy,S8042
D,4,D04,19,failing,dilated_cardiomyopathy,S8094
D,5,D05,19,failing,dilated_cardiomyopathy,S8124
D,6,D06,19,failing,dilated_cardiomyopathy,S8202
D,7,D07,19,failing,dilated_cardiomyopathy,S7843
D,8,D08,19,failing,dilated_cardiomyopathy,S7888
D,9,D09,19,failing,dilated_cardiomyopathy,S7938
D,10,D10,19,failing,dilated_cardiomyopathy,S7980
D,11,D11,19,failing,dilated_cardiomyopathy,S8023
E,2,E02,19,failing,dilated_cardiomyopathy,DMSO
E,3,E03,19,failing,dilated_cardiomyopathy,S8047
E,4,E04,19,failing,dilated_cardiomyopathy,S8101
E,5,E05,19,failing,dilated_cardiomyopathy,DMSO
E,6,E06,19,failing,dilated_cardiomyopathy,S8134
E,7,E07,19,failing,dilated_cardiomyopathy,S8205
E,8,E08,19,failing,dilated_cardiomyopathy,DMSO
E,9,E09,19,failing,dilated_cardiomyopathy,S7844
E,10,E10,19,failing,dilated_cardiomyopathy,S7900
E,11,E11,19,failing,dilated_cardiomyopathy,DMSO
F,2,F02,19,failing,dilated_cardiomyopathy,S7941
F,3,F03,19,failing,dilated_cardiomyopathy,S8005
F,4,F04,19,failing,dilated_cardiomyopathy,S8028
F,5,F05,19,failing,dilated_cardiomyopathy,S8048
F,6,F06,19,failing,dilated_cardiomyopathy,S8104
F,7,F07,19,failing,dilated_cardiomyopathy,S8136
F,8,F08,19,failing,dilated_cardiomyopathy,S8209
F,9,F09,19,failing,dilated_cardiomyopathy,S7845
F,10,F10,19,failing,dilated_cardiomyopathy,S7906
F,11,F11,19,failing,dilated_cardiomyopathy,S7946
G,2,G02,19,failing,dilated_cardiomyopathy,S8007
G,3,G03,19,failing,dilated_cardiomyopathy,S8031
G,4,G04,19,failing,dilated_cardiomyopathy,S8054
G,5,G05,19,failing,dilated_cardiomyopathy,S8105
G,6,G06,19,failing,dilated_cardiomyopathy,S8167
G,7,G07,19,failing,dilated_cardiomyopathy,S8238
G,8,G08,19,failing,dilated_cardiomyopathy,S7847
G,9,G09,19,failing,dilated_cardiomyopathy,S7910
G,10,G10,19,failing,dilated_cardiomyopathy,S7952
G,11,G11,19,failing,dilated_cardiomyopathy,S8012
