WellRow,WellCol,well_position,heart_number,cell_type,heart_failure_type,treatment
B,2,B02,7,healthy,NA,DMSO
B,3,B03,19,failing,dilated_cardiomyopathy,S7638
B,4,B04,19,failing,dilated_cardiomyopathy,S7686
B,5,B05,7,healthy,NA,DMSO
B,6,B06,19,failing,dilated_cardiomyopathy,S7725
B,7,B07,19,failing,dilated_cardiomyopathy,S7804
B,8,B08,7,healthy,NA,DMSO
B,9,B09,19,failing,dilated_cardiomyopathy,S7436
B,10,B10,19,failing,dilated_cardiomyopathy,S7467
B,11,B11,7,healthy,NA,DMSO
C,2,C02,19,failing,dilated_cardiomyopathy,S7513
C,3,C03,19,failing,dilated_cardiomyopathy,S7531
C,4,C04,19,failing,dilated_cardiomyopathy,S7573
C,5,C05,19,failing,dilated_cardiomyopathy,S7611
C,6,C06,19,failing,dilated_cardiomyopathy,S7651
C,7,C07,19,failing,dilated_cardiomyopathy,S7693
C,8,C08,19,failing,dilated_cardiomyopathy,S7734
C,9,C09,19,failing,dilated_cardiomyopathy,S7805
C,10,C10,19,failing,dilated_cardiomyopathy,S7437
C,11,C11,19,failing,dilated_cardiomyopathy,S7492
D,2,D02,19,failing,dilated_cardiomyopathy,S7517
D,3,D03,19,failing,dilated_cardiomyopathy,S7534
D,4,D04,19,failing,dilated_cardiomyopathy,S7577
D,5,D05,19,failing,dilated_cardiomyopathy,S7612
D,6,D06,19,failing,dilated_cardiomyopathy,S7655
D,7,D07,19,failing,dilated_cardiomyopathy,S7694
D,8,D08,19,failing,dilated_cardiomyopathy,S7738
D,9,D09,19,failing,dilated_cardiomyopathy,S7814
D,10,D10,19,failing,dilated_cardiomyopathy,S7445
D,11,D11,19,failing,dilated_cardiomyopathy,S7497
E,2,E02,19,failing,dilated_cardiomyopathy,DMSO
E,3,E03,19,failing,dilated_cardiomyopathy,S7519
E,4,E04,19,failing,dilated_cardiomyopathy,S7539
E,5,E05,19,failing,dilated_cardiomyopathy,DMSO
E,6,E06,19,failing,dilated_cardiomyopathy,S7585
E,7,E07,19,failing,dilated_cardiomyopathy,S7620
E,8,E08,19,failing,dilated_cardiomyopathy,DMSO
E,9,E09,19,failing,dilated_cardiomyopathy,S7656
E,10,E10,19,failing,dilated_cardiomyopathy,S7697
E,11,E11,19,failing,dilated_cardiomyopathy,DMSO
F,2,F02,19,failing,dilated_cardiomyopathy,S7741
F,3,F03,19,failing,dilated_cardiomyopathy,S7827
F,4,F04,19,failing,dilated_cardiomyopathy,S7449
F,5,F05,19,failing,dilated_cardiomyopathy,S7498
F,6,F06,19,failing,dilated_cardiomyopathy,S7524
F,7,F07,19,failing,dilated_cardiomyopathy,S7541
F,8,F08,19,failing,dilated_cardiomyopathy,S7589
F,9,F09,19,failing,dilated_cardiomyopathy,S7624
F,10,F10,19,failing,dilated_cardiomyopathy,S7668
F,11,F11,19,failing,dilated_cardiomyopathy,S7704
G,2,G02,19,failing,dilated_cardiomyopathy,S7742
G,3,G03,19,failing,dilated_cardiomyopathy,S7832
G,4,G04,19,failing,dilated_cardiomyopathy,S7457
G,5,G05,19,failing,dilated_cardiomyopathy,S7500
G,6,G06,19,failing,dilated_cardiomyopathy,S7525
G,7,G07,19,failing,dilated_cardiomyopathy,S7544
G,8,G08,19,failing,dilated_cardiomyopathy,S7593
G,9,G09,19,failing,dilated_cardiomyopathy,S7625
G,10,G10,19,failing,dilated_cardiomyopathy,S7680
G,11,G11,19,failing,dilated_cardiomyopathy,S7705
